"ï»¿""Logged At""",RADIUS Status,Identity,Failure Reason,Authentication Method,Endpoint ID,Authentication Protocol,Policy Set,Authorization Rule,Server,Network Device,Endpoint Profile,Device Type,Location,Network Device IP,Device Port,Event,Service Type,Credential Check,Identity Store,Identity Group,Session ID,MapLocation
2024-06-20 12:29:56.02,Pass,LTRMARO1.auva1.global,,dot1x,CC:48:3A:92:37:55,EAP-TLS,LAN 802.1X Standort UM_RM,Domain Computer_RM_102,SVHS3122,UMRM_Switches,Unknown,All Device Types#LAN_Switches,All Locations#UM_RM,10.208.111.19,GigabitEthernet1/0/12,Authentication succeeded,Framed,x509_PKI,,MAB_RM_Clients_vlan102_temp,136FD00A0001011B359FFD89,
2024-06-20 11:10:24.924,Pass,PCRTUS2C.auva1.global,,dot1x,2C:F0:5D:10:C7:38,EAP-TLS,LAN 802.1X Standort RT,Domain_Computer_RT_243,SVRT3120,RT_Switches,Unknown,All Device Types#LAN_Switches,All Locations#RT,10.108.240.52,GigabitEthernet1/0/31,Authentication succeeded,Framed,x509_PKI,,MAB_RT_WinClients243_temp,34F06C0A000025053030C4D4,
2024-06-20 11:04:58.868,Pass,PCUOEU02.auva1.global,,dot1x,00:D8:61:47:6A:5A,EAP-TLS,LAN 802.1X Standort UO,Domain Computer,SVHS3122,UO_Switches,Unknown,All Device Types#LAN_Switches,All Locations#UO,10.108.131.38,GigabitEthernet1/0/26,Authentication succeeded,Framed,x509_PKI,,MAB_UO_WinClients126_temp,26836C0A000B7EE43021A0FA,
2024-06-20 10:42:52.778,Pass,PCUOANM2.auva1.global,,dot1x,00:D8:61:47:69:A6,EAP-TLS,LAN 802.1X Standort UO,Domain Computer,SVHS3122,UO_Switches,Unknown,All Device Types#LAN_Switches,All Locations#UO,10.108.131.38,GigabitEthernet1/0/31,Authentication succeeded,Framed,x509_PKI,,MAB_UO_WinClients126_temp,26836C0A000B7F11353E0855,
2024-06-20 10:42:25.84,Pass,PCRTBIB1.auva1.global,,dot1x,00:D8:61:49:E9:09,EAP-TLS,LAN 802.1X Standort RT,Domain_Computer_RT_243,SVRT3120,RT_Switches,Unknown,All Device Types#LAN_Switches,All Locations#RT,10.108.240.56,GigabitEthernet1/0/27,Authentication succeeded,Framed,x509_PKI,,MAB_RT_WinClients243_temp,38F06C0A000000F2353D8DC1,
2024-06-20 10:38:18.333,Pass,PCAS1MCM.auva1.global,,dot1x,00:D8:61:47:6F:90,EAP-TLS,LAN 802.1X Standort AS,Domain Computer,SVHS3122,AS_Switches,Unknown,All Device Types#LAN_Switches,All Locations#AS,10.108.63.2,GigabitEthernet1/0/12,Authentication succeeded,Framed,x509_PKI,,MAB_AS_WinClients51_temp,023F6C0A00005A0C849D099F,
2024-06-20 10:28:29.646,Pass,pcuscp02.auva1.global,,dot1x,00:01:29:6B:57:43,EAP-TLS,LAN 802.1X Standort US_LS,Domain Computer_US_150,SVUS3120,USLS_Switches,Unknown,All Device Types#LAN_Switches,All Locations#US_LS,10.108.128.64,GigabitEthernet1/0/2,Authentication succeeded,Framed,x509_PKI,,MAB_US_WinClients150_temp,40806C0A000069313002264C,
2024-06-20 10:25:57.053,Pass,pcuscp27.auva1.global,,dot1x,00:01:29:6B:52:71,EAP-TLS,LAN 802.1X Standort US_LS,Domain Computer_US_150,SVUS3120,USLS_Switches,Unknown,All Device Types#LAN_Switches,All Locations#US_LS,10.108.128.73,GigabitEthernet1/0/12,Authentication succeeded,Framed,x509_PKI,,MAB_US_WinClients150_temp,49806C0A0000F3772EEAB43F,
2024-06-20 10:25:30.459,Pass,pcuscp06.auva1.global,,dot1x,00:01:29:6B:4F:C2,EAP-TLS,LAN 802.1X Standort US_LS,Domain Computer_US_150,SVUS3120,USLS_Switches,Unknown,All Device Types#LAN_Switches,All Locations#US_LS,10.108.128.64,GigabitEthernet1/0/6,Authentication succeeded,Framed,x509_PKI,,MAB_US_WinClients150_temp,40806C0A000069303001FF04,
2024-06-20 09:39:26.301,Pass,LTLSSP08.auva1.global,,dot1x,74:78:27:4B:00:02,EAP-TLS,LAN 802.1X Standort US_LS,Domain Computer_LS_146,SVUS3120,USLS_Switches,Unknown,All Device Types#LAN_Switches,All Locations#US_LS,10.108.128.71,GigabitEthernet1/0/25,Authentication succeeded,Framed,x509_PKI,,MAB_LS_WinClients146_temp,47806C0A000313C33503E33E,
2024-06-20 09:31:42.005,Pass,PCUSSYS5.auva1.global,,dot1x,6C:4B:90:E3:8B:8C,EAP-TLS,LAN 802.1X Standort US_LS,Domain Computer_US_150,SVUS3120,USLS_Switches,Unknown,All Device Types#LAN_Switches,All Locations#US_LS,10.108.128.8,GigabitEthernet1/0/28,Authentication succeeded,Framed,x509_PKI,,MAB_US_WinClients150_temp,08806C0A00013E5034FCD0BD,
2024-06-20 08:13:28.38,Pass,LTUSPA02.auva1.global,,dot1x,28:00:AF:D8:CD:08,EAP-TLS,LAN 802.1X Standort US_LS,Domain Computer_US_150,SVUS3120,USLS_Switches,Unknown,All Device Types#LAN_Switches,All Locations#US_LS,10.108.128.71,GigabitEthernet1/0/22,Authentication succeeded,Framed,x509_PKI,,MAB_US_WinClients150_temp,47806C0A000313C134B5342D,
2024-06-20 08:13:11.501,Pass,LTUSPA01.auva1.global,,dot1x,28:00:AF:D8:C4:6C,EAP-TLS,LAN 802.1X Standort US_LS,Domain Computer_US_150,SVUS3120,USLS_Switches,Unknown,All Device Types#LAN_Switches,All Locations#US_LS,10.108.128.71,GigabitEthernet1/0/24,Authentication succeeded,Framed,x509_PKI,,MAB_US_WinClients150_temp,47806C0A000313BF34B4F1F9,
2024-06-20 05:49:36.503,Pass,PCUSZSP6.auva1.global,,dot1x,70:20:84:0D:29:8A,EAP-TLS,LAN 802.1X Standort US_LS,Domain Computer_US_150,SVUS3120,USLS_Switches,Unknown,All Device Types#LAN_Switches,All Locations#US_LS,10.108.128.78,GigabitEthernet1/0/3,Authentication succeeded,Framed,x509_PKI,,MAB_US_WinClients150_temp,4E806C0A0000ED3530C28B8E,
2024-06-20 05:14:53.035,Pass,pcuscp22.auva1.global,,dot1x,00:01:29:6B:57:2F,EAP-TLS,LAN 802.1X Standort US_LS,Domain Computer_US_150,SVUS3120,USLS_Switches,Unknown,All Device Types#LAN_Switches,All Locations#US_LS,10.108.128.65,GigabitEthernet1/0/18,Authentication succeeded,Framed,x509_PKI,,MAB_US_WinClients150_temp,41806C0A000054E13411A4D5,
2024-06-20 04:45:14.45,Pass,PCRMSTA8.auva1.global,,dot1x,D8:BB:C1:ED:D2:68,EAP-TLS,LAN 802.1X Standort UM_RM,Domain Computer,SVHS3122,UMRM_Switches,Unknown,All Device Types#LAN_Switches,All Locations#UM_RM,10.208.111.50,GigabitEthernet1/0/45,Authentication succeeded,Framed,x509_PKI,,MAB_RM_Clients_vlan102_temp,326FD00A000154AD30879A94,
